"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"54",89.26,0,10.74,"Survival","Open ocean","Future climate","B.2",4,5,"Ice terraces -* Predation risk"
"55",78.56,0,21.44,"Growth","Open ocean","Future climate","B.2",4,6,"POM -* Small copepods"
"56",88.7,0,11.3,"Survival","Open ocean","Future climate","B.2",4,6,"POM -* Small copepods"
"57",73.28,0,26.72,"Growth","Open ocean","Future climate","B.2",5,0,"Certain"
"58",88.46,0,11.54,"Survival","Open ocean","Future climate","B.2",5,0,"Certain"
"59",74.2,0,25.8,"Growth","Open ocean","Future climate","B.2",5,1,"Autumn primary production -> Marine snow"
"60",89.1,0,10.9,"Survival","Open ocean","Future climate","B.2",5,1,"Autumn primary production -> Marine snow"
"61",73.98,0,26.02,"Growth","Open ocean","Future climate","B.2",5,2,"Small copepods -> POM"
"62",89.66,0,10.34,"Survival","Open ocean","Future climate","B.2",5,2,"Small copepods -> POM"
"63",73.6,0,26.4,"Growth","Open ocean","Future climate","B.2",5,3,"Autumn primary production -> Sea-ice algae"
"64",89.14,0,10.86,"Survival","Open ocean","Future climate","B.2",5,3,"Autumn primary production -> Sea-ice algae"
"65",72.98,0,27.02,"Growth","Open ocean","Future climate","B.2",5,4,"Glacial melt -> Nutrients"
"66",89,0,11,"Survival","Open ocean","Future climate","B.2",5,4,"Glacial melt -> Nutrients"
"67",73.14,0,26.86,"Growth","Open ocean","Future climate","B.2",5,5,"Ice terraces -* Predation risk"
"68",88.64,0,11.36,"Survival","Open ocean","Future climate","B.2",5,5,"Ice terraces -* Predation risk"
"69",77.82,0,22.18,"Growth","Open ocean","Future climate","B.2",5,6,"POM -* Small copepods"
"70",88.24,0,11.76,"Survival","Open ocean","Future climate","B.2",5,6,"POM -* Small copepods"
"71",73.18,0,26.82,"Growth","Open ocean","Future climate","B.2",6,0,"Certain"
"72",88.72,0,11.28,"Survival","Open ocean","Future climate","B.2",6,0,"Certain"
"73",74.14,0,25.86,"Growth","Open ocean","Future climate","B.2",6,1,"Small copepods -> POM"
"74",89.54,0,10.46,"Survival","Open ocean","Future climate","B.2",6,1,"Small copepods -> POM"
"75",73.62,0.02,26.36,"Growth","Open ocean","Future climate","B.2",6,2,"Autumn primary production -> Marine snow"
"76",89.6,0,10.4,"Survival","Open ocean","Future climate","B.2",6,2,"Autumn primary production -> Marine snow"
"77",74.42,0,25.58,"Growth","Open ocean","Future climate","B.2",6,3,"Autumn primary production -> Sea-ice algae"
"78",89.86,0,10.14,"Survival","Open ocean","Future climate","B.2",6,3,"Autumn primary production -> Sea-ice algae"
"79",74.44,0,25.56,"Growth","Open ocean","Future climate","B.2",6,4,"Glacial melt -> Nutrients"
"80",89.28,0,10.72,"Survival","Open ocean","Future climate","B.2",6,4,"Glacial melt -> Nutrients"
"81",74.68,0,25.32,"Growth","Open ocean","Future climate","B.2",6,5,"Ice terraces -* Predation risk"
"82",89.2,0,10.8,"Survival","Open ocean","Future climate","B.2",6,5,"Ice terraces -* Predation risk"
"83",78.2,0,21.8,"Growth","Open ocean","Future climate","B.2",6,6,"POM -* Small copepods"
"84",88.3,0,11.7,"Survival","Open ocean","Future climate","B.2",6,6,"POM -* Small copepods"
"85",74.04,0,25.96,"Growth","Open ocean","Future climate","B.2",7,0,"Certain"
"86",89.14,0,10.86,"Survival","Open ocean","Future climate","B.2",7,0,"Certain"
"87",72.84,0,27.16,"Growth","Open ocean","Future climate","B.2",7,1,"Small copepods -> POM"
"88",89.32,0,10.68,"Survival","Open ocean","Future climate","B.2",7,1,"Small copepods -> POM"
"89",75.3,0,24.7,"Growth","Open ocean","Future climate","B.2",7,2,"Autumn primary production -> Marine snow"
"90",90.26,0,9.74,"Survival","Open ocean","Future climate","B.2",7,2,"Autumn primary production -> Marine snow"
"91",73.12,0,26.88,"Growth","Open ocean","Future climate","B.2",7,3,"Autumn primary production -> Sea-ice algae"
"92",89.64,0,10.36,"Survival","Open ocean","Future climate","B.2",7,3,"Autumn primary production -> Sea-ice algae"
"93",74.18,0,25.82,"Growth","Open ocean","Future climate","B.2",7,4,"Glacial melt -> Nutrients"
"94",89.9,0,10.1,"Survival","Open ocean","Future climate","B.2",7,4,"Glacial melt -> Nutrients"
"95",78.68,0,21.32,"Growth","Open ocean","Future climate","B.2",7,5,"POM -* Small copepods"
"96",88.58,0,11.42,"Survival","Open ocean","Future climate","B.2",7,5,"POM -* Small copepods"
"97",78.1,0,21.9,"Growth","Open ocean","Future climate","B.2",7,6,"Ice terraces -* Predation risk"
"98",88.36,0,11.64,"Survival","Open ocean","Future climate","B.2",7,6,"Ice terraces -* Predation risk"
"99",74.14,0,25.86,"Growth","Open ocean","Future climate","B.2",8,0,"Certain"
"100",89.22,0,10.78,"Survival","Open ocean","Future climate","B.2",8,0,"Certain"
"101",75.26,0,24.74,"Growth","Open ocean","Future climate","B.2",8,1,"Autumn primary production -> Marine snow"
"102",88.32,0,11.68,"Survival","Open ocean","Future climate","B.2",8,1,"Autumn primary production -> Marine snow"
"103",74.3,0,25.7,"Growth","Open ocean","Future climate","B.2",8,2,"Small copepods -> POM"
"104",89.78,0,10.22,"Survival","Open ocean","Future climate","B.2",8,2,"Small copepods -> POM"
"105",74.4,0,25.6,"Growth","Open ocean","Future climate","B.2",8,3,"Autumn primary production -> Sea-ice algae"
"106",89.92,0,10.08,"Survival","Open ocean","Future climate","B.2",8,3,"Autumn primary production -> Sea-ice algae"
"107",73.54,0,26.46,"Growth","Open ocean","Future climate","B.2",8,4,"Glacial melt -> Nutrients"
"108",88.54,0,11.46,"Survival","Open ocean","Future climate","B.2",8,4,"Glacial melt -> Nutrients"
"109",78,0,22,"Growth","Open ocean","Future climate","B.2",8,5,"POM -* Small copepods"
"110",87.8,0,12.2,"Survival","Open ocean","Future climate","B.2",8,5,"POM -* Small copepods"
"111",78.74,0,21.26,"Growth","Open ocean","Future climate","B.2",8,6,"Ice terraces -* Predation risk"
"112",88.5,0,11.5,"Survival","Open ocean","Future climate","B.2",8,6,"Ice terraces -* Predation risk"
"113",73.98,0,26.02,"Growth","Open ocean","Future climate","B.2",9,0,"Certain"
"114",89.18,0,10.82,"Survival","Open ocean","Future climate","B.2",9,0,"Certain"
"115",74.2,0,25.8,"Growth","Open ocean","Future climate","B.2",9,1,"Autumn primary production -> Marine snow"
"116",87.92,0.02,12.06,"Survival","Open ocean","Future climate","B.2",9,1,"Autumn primary production -> Marine snow"
"117",73.72,0,26.28,"Growth","Open ocean","Future climate","B.2",9,2,"Autumn primary production -> Sea-ice algae"
"118",88.34,0,11.66,"Survival","Open ocean","Future climate","B.2",9,2,"Autumn primary production -> Sea-ice algae"
"119",74.1,0,25.9,"Growth","Open ocean","Future climate","B.2",9,3,"Small copepods -> POM"
"120",89.62,0.02,10.36,"Survival","Open ocean","Future climate","B.2",9,3,"Small copepods -> POM"
"121",72.76,0,27.24,"Growth","Open ocean","Future climate","B.2",9,4,"Glacial melt -> Nutrients"
"122",88.46,0,11.54,"Survival","Open ocean","Future climate","B.2",9,4,"Glacial melt -> Nutrients"
"123",78.38,0,21.62,"Growth","Open ocean","Future climate","B.2",9,5,"POM -* Small copepods"
"124",89.26,0,10.74,"Survival","Open ocean","Future climate","B.2",9,5,"POM -* Small copepods"
"125",78.58,0,21.42,"Growth","Open ocean","Future climate","B.2",9,6,"Ice terraces -* Predation risk"
"126",88.68,0,11.32,"Survival","Open ocean","Future climate","B.2",9,6,"Ice terraces -* Predation risk"
"127",73.38,0,26.62,"Growth","Open ocean","Future climate","B.2",10,0,"Certain"
"128",89.34,0,10.66,"Survival","Open ocean","Future climate","B.2",10,0,"Certain"
"129",73.04,0,26.96,"Growth","Open ocean","Future climate","B.2",10,1,"Autumn primary production -> Marine snow"
"130",88.24,0,11.76,"Survival","Open ocean","Future climate","B.2",10,1,"Autumn primary production -> Marine snow"
"131",74.38,0,25.62,"Growth","Open ocean","Future climate","B.2",10,2,"Autumn primary production -> Sea-ice algae"
"132",88.98,0,11.02,"Survival","Open ocean","Future climate","B.2",10,2,"Autumn primary production -> Sea-ice algae"
"133",73.6,0,26.4,"Growth","Open ocean","Future climate","B.2",10,3,"Glacial melt -> Nutrients"
"134",88.24,0,11.76,"Survival","Open ocean","Future climate","B.2",10,3,"Glacial melt -> Nutrients"
"135",72.98,0,27.02,"Growth","Open ocean","Future climate","B.2",10,4,"Small copepods -> POM"
"136",89.16,0,10.84,"Survival","Open ocean","Future climate","B.2",10,4,"Small copepods -> POM"
"137",78.7,0,21.3,"Growth","Open ocean","Future climate","B.2",10,5,"POM -* Small copepods"
"138",88.5,0,11.5,"Survival","Open ocean","Future climate","B.2",10,5,"POM -* Small copepods"
"139",79.14,0,20.86,"Growth","Open ocean","Future climate","B.2",10,6,"Ice terraces -* Predation risk"
"140",89.12,0,10.88,"Survival","Open ocean","Future climate","B.2",10,6,"Ice terraces -* Predation risk"
"141",73.6,0,26.4,"Growth","Open ocean","Future climate","B.2",11,0,"Certain"
"142",89.2,0,10.8,"Survival","Open ocean","Future climate","B.2",11,0,"Certain"
